"","distrito","barrio","precio","distancia_P_Ayuntamiento","distancia_CAC","distancia_Bioparc","distancia_Estacion","distancia_Malvarrosa","distancia_Torres","distancia_UV","distancia_Puerto","distancia_Albufera","distancia_Viveros","distancia_UPV","distancia_Mestalla","codbarrio","coddistrito","emt","metrovlc","renta_hogar","precio_barrio","cluster"
"1","QUATRE CARRERES","NA ROVELLA",0.349191878640213,-0.240804867130955,-0.885356501331157,0.0565666676316939,-0.425770639282068,-0.0390086377408031,0.0284463518795823,-0.143471848447816,-0.545273517031627,-0.58697242658916,0.0466280943988917,-0.018415668830227,-0.158577687911505,1.38219765790434,0.238169935661253,-0.0133985342965895,-0.551673879938784,-1.17616474957228,0.0881419348930256,4
"2","L'OLIVERETA","NOU MOLES",0.19143168779777,-0.295925237076674,0.302062928140905,-0.948016854679121,-0.304653288640937,0.471908480663252,-0.25380569123649,0.377153960299781,0.702491902313204,0.37380928800778,-0.0541696089993819,0.338667570346821,0.179365134705524,-1.14181545652967,-0.338934139210245,0.514168753631622,-0.551673879938784,-0.643065688489682,0.114436213304141,4
"3","RASCANYA","ELS ORRIOLS",0.10519347933859,-0.0156370324436282,0.414540032229929,-0.213642261827145,0.136813574859078,-0.333189598194308,-0.379279075216543,-0.16842029144624,0.388742270148751,1.03036957727961,-0.521439013442413,-0.399045600096608,-0.198987012580536,-1.14181545652967,1.20001006044708,0.40865529604598,0.838544297506952,-1.06694071212133,-0.333364911214344,4
"4","QUATRE CARRERES","LA PUNTA",0.0807655876722397,0.363124352683657,-0.695810369190984,0.630128827640833,0.218337794476537,0.0651558898844186,0.563181765977038,0.0868036061096327,-1.02584092309595,-1.10258160546486,0.526913728374211,0.235149450449998,0.249077779865015,2.01320093651284,0.238169935661253,3.04649173568704,-0.551673879938784,-0.521746277115083,-0.534684788360872,4
"5","JESUS","LA RAIOSA",0.00435427812559474,-0.400711189691052,-0.245618703274041,-0.392907087848265,-0.591405354807353,0.316281194277968,-0.121861796611728,0.182001011889733,0.155399649074444,-0.259478166811314,0.0166099056747827,0.236611595254709,0.0328936335365381,-1.14181545652967,0.045801910704087,0.0921149232890529,0.143435208784084,-0.502128745375581,0.034083951739429,4
"6","POBLATS DE L'OEST","BENIMAMET",-0.0409775804542169,0.80894042208795,1.62974594725664,-0.2267908643586,0.928559427041374,1.1884074053128,0.529409437265728,1.24107094247016,1.98609143851603,1.71905795915184,0.65201075813259,1.05489846240626,1.08754108792524,-1.14181545652967,1.77711413531858,0.725195668802907,1.53365338622982,-0.9063795045241,0.123937480243883,4
"7","CIUTAT VELLA","LA XEREA",-0.0465865445552878,-0.714604090264795,-0.333193556472512,-0.395599488933163,-0.611238081875271,-0.330331569444918,-0.700700371405816,-0.421103731141305,-0.125652735824676,0.258326129254318,-0.680911602014765,-0.434790367045533,-0.617554552256578,-0.510812177921168,-1.49314228895324,-0.96301965256737,-0.551673879938784,2.22981137568514,-0.0427444606338479,4
"8","CAMPANAR","CAMPANAR",-0.075782585343839,-0.278407655922575,0.396828634791334,-0.983137301767338,-0.19690776317334,0.299474875872066,-0.426070579543533,0.259376796870343,0.720850892468096,0.691755146629596,-0.247755777420076,0.165444999372377,0.0720464062636978,-1.14181545652967,-0.916038214081743,1.78033024465933,0.838544297506952,0.139987040760501,-0.0538763687902748,4
"9","L'OLIVERETA","TRES FORQUES",-0.125469409851333,-0.22144379926916,0.296484239161233,-0.786526161682028,-0.277916164434024,0.58255875244585,-0.116080543532177,0.469693548157244,0.720052097496025,0.21277069391179,0.0809012362652898,0.453828958069407,0.276342488144329,0.120191100687334,-0.338934139210245,-0.435452364639159,0.143435208784084,-1.06052146187066,-0.126419699251485,4
"10","CIUTAT VELLA","EL PILAR",-0.140711942338587,-0.722894507027071,-0.10766401309814,-0.673968224293529,-0.644157603364388,-0.00389172707388814,-0.649626042460536,-0.0945413491596722,0.20707429268027,0.299522580992595,-0.468753621511104,-0.121951470645945,-0.291613002146877,0.751194379295836,-1.49314228895324,-1.17404656773866,-0.551673879938784,-0.26459755025946,-0.18184959779805,4
"11","QUATRE CARRERES","MONT-OLIVET",-0.154365848001739,-0.401222450416381,-0.936533253375078,-0.0281109050869208,-0.544412099058637,-0.257495145070075,-0.158477298823983,-0.373825032680129,-0.592679500618891,-0.350668096354383,-0.172162372486937,-0.254807690173886,-0.408295901514301,-1.14181545652967,0.238169935661253,1.04173604155983,-0.551673879938784,-0.50228023210716,-0.261088849749996,4
"12","L'EIXAMPLE","RUSSAFA",-0.164392838937914,-0.60377544192886,-0.604626929462575,-0.277857025251232,-0.815860639962765,-0.060169156302183,-0.29281131126117,-0.191135327922046,-0.235555546089472,-0.22056054804851,-0.225500667210978,-0.115824037721132,-0.31904753372604,-1.14181545652967,-1.30077426399608,1.4637898719024,-0.551673879938784,0.156065186251749,-0.253420671504746,4
"13","EXTRAMURS","LA ROQUETA",-0.200934260610053,-0.769330283785342,-0.325982993182002,-0.516312225443349,-0.882919453035822,0.0113932583254486,-0.464955020066546,-0.110245632823021,0.0325377436594245,0.026947468414733,-0.334010817371945,-0.0843175133966653,-0.289543447274736,-0.510812177921168,-1.10840623903891,-0.857506194981728,1.53365338622982,0.0283399169317388,-0.63431336648844,4
"14","QUATRE CARRERES","CIUTAT DE LES ARTS I DE LES CIENCIES",-0.223881959048207,-0.123424867936208,-1.17143873432379,0.218241929660536,-0.264813795036259,-0.23556584146136,0.0935554525668288,-0.303991723218747,-0.851169980620746,-0.595995027554621,0.0557088727419913,-0.157867232026535,-0.228548301629168,2.64420421512134,0.238169935661253,0.303141838460338,-0.551673879938784,0.838284767143543,-0.344735755547718,4
"15","CAMINS AL GRAU","LA CREU DEL GRAU",-0.239925809927569,0.00619703296843424,-0.908158146672031,0.364947787202751,-0.0492339074313157,-0.674025407494468,0.100117567038787,-0.672194361347913,-1.16177956061999,-0.32194262943842,-0.0335452579764176,-0.511027060150069,-0.405772239783521,0.120191100687334,0.622905985575585,0.0921149232890529,-0.551673879938784,-0.71540312759759,-0.270033404879426,4
"16","POBLATS MARITIMS","EL GRAU",-0.253336553682,0.846359088037832,-0.210319932682612,1.12470428045074,0.771616938819906,-0.131046846450694,0.933970181900536,0.136796881482608,-1.81853715400545,-1.01915521191586,0.815676829820829,0.249155171027882,0.49407461784367,-1.14181545652967,0.430537960618419,-0.0133985342965895,0.143435208784084,-0.439956065956635,-0.238905926533425,4
"17","CAMPANAR","LES TENDETES",-0.333553990388062,-0.373931308796333,0.262141973928627,-0.755986567665046,-0.255261809627298,0.0545228852800117,-0.622528885720885,0.0377149886848767,0.512289008010925,0.703024389146153,-0.472347092955367,-0.0716476015283788,-0.136319749583713,-0.510812177921168,-0.916038214081743,-0.857506194981728,-0.551673879938784,-0.440801866874619,-0.251958534172809,4
"18","CAMINS AL GRAU","ALBORS",-0.360864840890027,-0.261674191880165,-0.743875015842953,0.10432433453366,-0.275502032101052,-0.714972420890422,-0.202707069088074,-0.831749309032022,-0.78743735356853,-0.0383567588512058,-0.349064056651652,-0.696420488037513,-0.73783763159784,-0.510812177921168,0.622905985575585,-0.96301965256737,-0.551673879938784,-0.250355693508636,-0.629136069979852,4
"19","EXTRAMURS","ARRANCAPINS",-0.457079254083685,-0.621636949515277,-0.242688142106257,-0.544687290532859,-0.765784613458976,0.159692159837545,-0.349347923595632,0.0338629649195705,0.14461485980806,-0.030293639652836,-0.200619447766526,0.0628574793181193,-0.141269218621682,0.751194379295836,-1.10840623903891,0.725195668802907,0.143435208784084,0.608507365927286,-0.59981046800207,4
"20","POBLATS MARITIMS","CABANYAL-CANYAMELAR",-0.482528121672803,0.406480027799622,-0.325827393324655,0.699095708130351,0.413721215568523,-1.07345258250104,0.373412402044182,-0.677812834978919,-1.3629147010343,-0.0502552925232932,0.16833571086613,-0.626263497642705,-0.169792112427314,-0.510812177921168,0.430537960618419,2.41341099017318,5.00919882984416,-0.738888199753602,-0.115289092321777,4
"21","RASCANYA","TORREFIEL",-0.502109611673103,-0.000873798786494814,0.530384346486144,-0.337199535129858,0.152908724342508,-0.130811677672852,-0.370930265189667,0.00429415511773086,0.586955065478716,1.10217474541355,-0.432765805607184,-0.210599513995701,-0.066267160349484,-0.510812177921168,1.20001006044708,1.35827641431676,0.143435208784084,-0.809931549430446,-0.575485179620424,4
"22","CIUTAT VELLA","EL MERCAT",-0.507757657341106,-0.771373026639861,-0.175402300866082,-0.593670616572028,-0.6572240031902,-0.106138729159775,-0.715595828466873,-0.194687154008496,0.109715414917602,0.296686656127808,-0.553151205890904,-0.221110003862148,-0.39160334061559,1.38219765790434,-1.49314228895324,-1.17404656773866,-0.551673879938784,0.143276266552659,-0.395958573890278,4
"23","POBLATS MARITIMS","BETERO",-0.574056473712726,0.208933303161182,-0.400887241921496,0.503967875676389,0.227952787662752,-1.1330687122586,0.164253967712287,-0.910575355795779,-1.11219974430531,0.0708663078854925,-0.0485770249450421,-0.833280142584059,-0.39130155988019,0.751194379295836,0.430537960618419,-0.96301965256737,-0.551673879938784,-0.135174861134806,-0.493733159315667,4
"24","LA SAIDIA","MORVEDRE",-0.622687204338937,-0.409102924435764,0.0839750522204358,-0.477306739504162,-0.269731038247819,-0.263567696359611,-0.753991669386663,-0.254806694782297,0.218159053749502,0.662283299568399,-0.755384079754412,-0.379656292031989,-0.401459492329465,-0.510812177921168,-0.723670189124577,-0.224425449467874,0.143435208784084,-0.352379377249221,-0.611802536829814,4
